TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
8567.5223,-885.659,-213.561,-424.255,173888.75,-4847.5,49726.25,-127.68,-381.52,-425.6
8567.5723,-930.006,-239.486,-404.369,177493.75,5801.25,40923.75,-165.68,-386.08,-376.96
8567.6223,-1014.918,-260.836,-314.15,190251.25,-25182.5,34405.0,-174.8,-418.0,-325.28
8567.6723,-874.13,-188.551,-273.585,178412.5,-16388.75,7358.75,-190.0,-421.04,-291.84
8567.7223,-876.875,-21.411,-244.732,145328.75,45543.75,-25182.5,-188.48,-422.56,-232.56
8567.7723,-1072.624,-181.292,-80.947,97781.25,41833.75,-25261.25,-197.6,-452.96,-212.8
8567.8223,-1202.92,-93.269,-119.499,79493.75,28568.75,-7857.5,-167.2,-451.44,-218.88
8567.8723,-1110.505,-69.479,-113.521,18060.0,-6405.0,7533.75,-186.96,-469.68,-188.48
8567.9223,-1109.773,34.465,-137.006,-18121.25,-24307.5,33328.75,-176.32,-460.56,-197.6
8567.9723,-951.905,-15.25,-146.156,-68276.25,-16905.0,35393.75,-193.04,-442.32,-196.08
8568.0223,-870.653,-110.532,-153.049,-80508.75,-5005.0,30992.5,-194.56,-402.8,-186.96
8568.0723,-847.168,-203.74,-215.757,-90107.5,16878.75,12425.0,-193.04,-402.8,-211.28
8568.1223,-958.127,-270.962,-241.133,-73937.5,32042.5,-8505.0,-203.68,-386.08,-259.92
8568.1723,-973.072,-480.68,-224.114,-51030.0,9581.25,-38981.25,-194.56,-399.76,-270.56
8568.2223,-915.793,-467.016,-179.096,2677.5,8286.25,-49026.25,-174.8,-411.92,-293.36
8568.2723,-870.958,-394.182,-185.928,-6553.75,23625.0,-39541.25,-176.32,-428.64,-299.44
8568.3223,-878.888,-383.568,-188.246,6378.75,21481.25,-26223.75,-177.84,-440.8,-311.6
8568.3723,-851.56,-402.722,-205.143,-2467.5,26503.75,-13650.0,-145.92,-451.44,-316.16
8568.4223,-1027.728,-356.301,-226.432,-4130.0,2870.0,3150.0,-147.44,-456.0,-342.0
8568.4723,-1099.22,-341.295,-215.208,-2213.75,-7770.0,13230.0,-153.52,-454.48,-320.72
8568.5223,-976.0,-289.262,-173.911,-3526.25,-35218.75,20772.5,-148.96,-449.92,-331.36
8568.5723,-902.373,-280.905,-157.502,-6588.75,-26048.75,15487.5,-161.12,-434.72,-294.88
8568.6223,-891.393,-219.539,-193.675,-7096.25,3876.25,6965.0,-180.88,-431.68,-314.64
8568.6723,-935.862,-198.25,-232.593,-15111.25,14000.0,8706.25,-174.8,-425.6,-294.88
8568.7223,-963.373,-240.34,-275.476,-27571.25,26775.0,6562.5,-171.76,-413.44,-316.16
8568.7723,-918.721,-207.095,-283.406,-17500.0,22627.5,2537.5,-170.24,-410.4,-325.28
8568.8223,-942.511,-231.678,-281.576,-20895.0,24718.75,3447.5,-176.32,-419.52,-355.68
8568.8724,-935.557,-194.102,-291.519,-10631.25,15942.5,1636.25,-168.72,-396.72,-351.12
8568.9223,-957.151,-173.118,-287.31,-9616.25,11996.25,-2345.0,-180.88,-399.76,-381.52
8568.9723,-927.017,-203.374,-320.189,-21087.5,12538.75,-10543.75,-177.84,-413.44,-357.2
8569.0223,-962.153,-222.833,-329.583,-14227.5,6142.5,-13483.75,-176.32,-398.24,-384.56
8569.0723,-956.968,-246.257,-334.402,-14481.25,-2511.25,-12731.25,-161.12,-395.2,-384.56
8569.1223,-929.091,-256.2,-339.221,-2826.25,-5223.75,-11217.5,-177.84,-410.4,-389.12
8569.1723,-932.751,-260.531,-346.663,3841.25,-5005.0,-1260.0,-148.96,-408.88,-384.56
8569.2223,-945.195,-212.829,-320.372,7166.25,-14560.0,7621.25,-162.64,-410.4,-387.6
8569.2723,-901.214,-207.766,-319.03,3377.5,-9528.75,6405.0,-164.16,-404.32,-367.84
8569.3223,-937.021,-189.1,-306.159,411.25,-2336.25,-2152.5,-164.16,-414.96,-378.48
8569.3723,-924.76,-195.322,-304.756,-4725.0,691.25,-6492.5,-147.44,-407.36,-361.76
8569.4223,-943.731,-206.18,-300.852,-9222.5,253.75,-1207.5,-177.84,-421.04,-364.8
